Language,LanguageName,Country,Sub-topic,Items
it,Italian,(unspecified),Community norms and identity,1
it,Italian,Australia,Censorship,1
it,Italian,Australia,Regulative,1
it,Italian,Austria,Platform governance,1
it,Italian,Canada,Community norms and identity,1
it,Italian,China,Platform regulation,1
it,Italian,China,Regulative,1
it,Italian,Europe,Platform regulation,1
it,Italian,European Union,Community norms and identity,1
it,Italian,European Union,Gatekeeping (selection theory),1
it,Italian,France,Censorship,1
it,Italian,France,Debate management,1
it,Italian,France,Platform governance,1
it,Italian,Germany,Moderation as industrial labour,1
it,Italian,Honduras,Platform governance,1
it,Italian,India,Moderation as industrial labour,1
it,Italian,India,Regulative,1
it,Italian,Israel,Platform governance,1
it,Italian,Italy,Gatekeeping (selection theory),1
it,Italian,Italy,Moderation as industrial labour,1
it,Italian,Japan,Platform regulation,1
it,Italian,Kenya,Moderation as industrial labour,1
it,Italian,Palestine,Platform governance,1
it,Italian,Philippines,Moderation as industrial labour,1
it,Italian,Philippines,Platform governance,1
it,Italian,Romania,Platform regulation,1
it,Italian,Russia,Compliance,1
it,Italian,Russia,Moderating extremism,1
it,Italian,Russia,Moderation as industrial labour,1
it,Italian,Spain,Censorship,1
it,Italian,Spain,Platform regulation,1
it,Italian,Spain,Regulative,1
it,Italian,Syria,Platform governance,1
it,Italian,Trinidad,Platform governance,1
it,Italian,Uganda,Platform governance,1
it,Italian,Ukraine,Moderating extremism,1
it,Italian,Ukraine,Moderation as industrial labour,1
it,Italian,United Kingdom,Censorship,1
it,Italian,United States,Community norms and identity,1
it,Italian,United States,Gatekeeping (selection theory),1
it,Italian,United States,Moderating extremism,1
pt,Portuguese,(unspecified),Moderation as industrial labour,1
pt,Portuguese,(unspecified),Platform governance,1
pt,Portuguese,Alemanha,Moderation as industrial labour,1
pt,Portuguese,Australia,Censorship,1
pt,Portuguese,Belgium,Censorship,1
pt,Portuguese,Belgium,Platform regulation,1
pt,Portuguese,Brasil,Moderation as industrial labour,1
pt,Portuguese,Brazil,Gatekeeping (selection theory),1
pt,Portuguese,Brazil,Social responsibility / self-regulation,1
pt,Portuguese,Cambodia,Platform governance,1
pt,Portuguese,Canada,Censorship,1
pt,Portuguese,Canada,Compliance,1
pt,Portuguese,Chile,Platform governance,1
pt,Portuguese,Chile,Platform regulation,1
pt,Portuguese,China,Brand safety,1
pt,Portuguese,China,Censorship,1
pt,Portuguese,China,Compliance,1
pt,Portuguese,China,Gatekeeping (selection theory),1
pt,Portuguese,China,Platform governance,1
pt,Portuguese,China,Regulative,1
pt,Portuguese,Colombia,Debate management,1
pt,Portuguese,Colombia,Platform governance,1
pt,Portuguese,Cuba,Platform governance,1
pt,Portuguese,Czech Republic,Platform governance,1
pt,Portuguese,Denmark,Censorship,1
pt,Portuguese,Espanha,Moderation as industrial labour,1
pt,Portuguese,Estados Unidos,Moderation as industrial labour,1
pt,Portuguese,Estonia,Platform regulation,1
pt,Portuguese,European Union,Brand safety,1
pt,Portuguese,European Union,Censorship,1
pt,Portuguese,European Union,Gatekeeping (selection theory),1
pt,Portuguese,Filipinas,Moderation as industrial labour,1
pt,Portuguese,France,Platform regulation,1
pt,Portuguese,Germany,Brand safety,1
pt,Portuguese,Germany,Censorship,1
pt,Portuguese,Germany,Moderation as industrial labour,1
pt,Portuguese,Greece,Platform governance,1
pt,Portuguese,India,Censorship,1
pt,Portuguese,India,Moderation as industrial labour,1
pt,Portuguese,India,Platform regulation,1
pt,Portuguese,Indonesia,Censorship,1
pt,Portuguese,Iran,Platform governance,1
pt,Portuguese,Iraq,Platform governance,1
pt,Portuguese,Irlanda,Moderation as industrial labour,1
pt,Portuguese,Italy,Debate management,1
pt,Portuguese,Italy,Platform regulation,1
pt,Portuguese,Japan,Platform governance,1
pt,Portuguese,Letônia,Moderation as industrial labour,1
pt,Portuguese,Malásia,Moderation as industrial labour,1
pt,Portuguese,Myanmar,Regulative,1
pt,Portuguese,New Zealand,Platform governance,1
pt,Portuguese,Norway,Platform governance,1
pt,Portuguese,Pakistan,Platform governance,1
pt,Portuguese,Poland,Platform governance,1
pt,Portuguese,Portugal,Censorship,1
pt,Portuguese,Portugal,Compliance,1
pt,Portuguese,Portugal,Gatekeeping (selection theory),1
pt,Portuguese,Portugal,Moderation as industrial labour,1
pt,Portuguese,Quênia,Moderation as industrial labour,1
pt,Portuguese,Singapore,Censorship,1
pt,Portuguese,Spain,Censorship,1
pt,Portuguese,Spain,Compliance,1
pt,Portuguese,Spain,Debate management,1
pt,Portuguese,Spain,Platform governance,1
pt,Portuguese,Spain,Platform regulation,1
pt,Portuguese,Sweden,Platform governance,1
pt,Portuguese,Switzerland,Censorship,1
pt,Portuguese,United Kingdom,Debate management,1
pt,Portuguese,United States,Brand safety,1
pt,Portuguese,Índia,Moderation as industrial labour,1
so,Somali,Brazil,Compliance,1
so,Somali,Canada,Platform governance,1
so,Somali,United Kingdom,Platform governance,1
so,Somali,United States,Platform governance,1
und,undetermined,Australia,Debate management,1
und,undetermined,Brazil,Censorship,1
und,undetermined,Brazil,Platform governance,1
und,undetermined,Canada,Debate management,1
und,undetermined,China,Censorship,1
und,undetermined,China,Debate management,1
und,undetermined,European Union,Debate management,1
und,undetermined,India,Censorship,1
und,undetermined,Iran,Censorship,1
und,undetermined,Myanmar,Debate management,1
und,undetermined,New Zealand,Platform governance,1
und,undetermined,Russia,Censorship,1
und,undetermined,Saudi Arabia,Censorship,1
und,undetermined,South Africa,Debate management,1
und,undetermined,Syria,Platform governance,1
und,undetermined,United States,Censorship,1
und,undetermined,United States,Debate management,1
