Topic,Medium,How,Items
Censorship,Library,Self-censorship,6
Censorship,Mass media (traditional),Filtering,6
Censorship,Music,Economic,6
Censorship,Music,Enframing,6
Censorship,Music,Licensing,6
Censorship,Music,Restricting access,6
Censorship,News media,Blocking,6
Censorship,Performing arts,Agenda setting,6
Censorship,Print media,Intermediate,6
Censorship,Print media,Prompting,6
Censorship,Radio,Scheduling,6
Censorship,Search engine,Metamoderation,6
Censorship,Social media platform,Prompting,6
Censorship,Television,Redirection,6
Censorship,VPN,Modification,6
Censorship,VPN,Monitoring,6
Censorship,Videoconferencing,Removal,6
Censorship,Videoconferencing,Restricting access,6
Censorship,Visual arts,Deplatforming,6
Censorship,Visual arts,Removal from circulation,6
Censorship,Visual arts,Self-censorship,6
Censorship,Wikis,Coersive,6
Censorship,Wikis,Profiling,6
Censorship,Wikis,Review,6
Content moderation,Alt-tech,Disclosure,6
Content moderation,Alt-tech,Metamoderation,6
Content moderation,App store,Removal from circulation,6
Content moderation,Blog,Modification,6
Content moderation,Blog,Profiling,6
Content moderation,Deliberation platform,Filtering,6
Content moderation,E-commerce,Correcting,6
Content moderation,ISP,Rating,6
Content moderation,Infrastructure,Filtering,6
Content moderation,Marketplace,Marginalisation,6
Content moderation,Messaging platform,Coherence,6
Content moderation,Music streaming,Blocking,6
Content moderation,Music streaming,Correcting,6
Content moderation,Music streaming,Profiling,6
Content moderation,News media,Deplatforming,6
Content moderation,News media,Labeling,6
Content moderation,Online fora,Coherence,6
Content moderation,Online learning platform,Filtering,6
Content moderation,Platforms,Modification,6
Content moderation,Platforms,Rating,6
Content moderation,Print media,Removal from circulation,6
Content moderation,Print media,Restricting access,6
Content moderation,Print media,Self-censorship,6
Content moderation,Short video platform,Deplatforming,6
Content moderation,Short video platform,Labeling,6
Content moderation,Television,Correcting,6
Content moderation,Television,Deplatforming,6
Content moderation,Television,Economic,6
Content moderation,Video sharing platform,Coherence,6
Content moderation,Videoconferencing,Removal,6
Content moderation,Wikis,Coersive,6
Content moderation,Wikis,Removal from circulation,6
Media moderation,Film,Modification,6
Media moderation,Print media,Modification,6
Media moderation,Search engine,Filtering,6
Media moderation,Search engine,Monitoring,6
Media moderation,Search engine,Removal,6
Media moderation,Social media platform,Correcting,6
Media moderation,Social media platform,Labeling,6
Media moderation,Video sharing platform,Monitoring,6
Media moderation,Wikis,Enframing,6
Media regulation,Social media platform,Removal,6
Other,Social media platform,Disclosure,6
Other,Social media platform,Enframing,6
Other,Social media platform,Labeling,6
Other,Social media platform,Removal,6
